"ZIP","County","Pop","ED","HHIncome","Tmax","Ozone"
91030,6037,26353,867,95020,27,53.5
91040,6037,21099,876,103326,28.1,59.1
91042,6037,28981,1464,64250,26.2,58
91101,6037,19448,812,94833,26.7,60.8
91103,6037,29666,1194,103333,25.7,56.3
91104,6037,36729,1541,88281,25,52.5
91105,6037,13154,445,156875,26.8,55
91106,6037,24139,1097,79667,26.8,52.7
91107,6037,34135,1555,86667,27.3,56.7
91201,6037,23690,1276,57045,26.8,49.3
91202,6037,24238,1319,55341,27,49.3
91203,6037,14699,379,100821,25.8,51
91204,6037,16515,456,92614,25.4,56.3
91205,6037,38579,1222,63850,24.9,51.6
91206,6037,33597,1241,63512,23.8,50.7
91208,6037,16208,601,100875,27.8,59.7
91301,6037,25020,628,82083,36.9,47.9
91302,6037,27711,589,135300,29.8,48.4
91303,6037,27913,1376,63194,25.1,55.4
91304,6111,50241,1835,71364,33.8,53
91306,6037,46546,1862,70602,27.9,51.6
91311,6037,38444,1603,80469,29.9,53.8
91316,6037,27089,941,101786,30.4,56.5
91320,6111,43894,559,110054,33.7,45.3
91321,6037,36265,1742,73833,27.9,58.3
91324,6037,27811,1219,101250,31.2,57.3
91325,6037,35371,2236,38458,30.8,55.8
91326,6037,35931,1308,144107,27.9,55.5
91331,6037,107800,4965,75714,30.3,49
91335,6037,76808,2970,77966,31.2,56.5
91342,6037,94832,4726,66944,29.4,55
91343,6037,61472,2972,67072,30.4,57.7
91344,6037,52184,2403,91012,30.5,60.2
91345,6037,19406,859,79250,30.5,55.7
91350,6037,35782,1455,102070,27.3,56.4
91351,6037,33572,1448,89628,27.7,59.4
91352,6037,50004,2237,81250,28.2,59.1
91354,6037,30788,1026,138281,30.2,54.7
91355,6037,35005,1298,98618,27.8,53.4
91356,6037,29758,1081,79870,24.8,57
91360,6111,43482,762,76645,31,46.1
91361,6111,21213,297,112857,35.8,47.7
91362,6037,36440,693,96172,21.9,52.7
91364,6037,25695,862,84133,26.9,52.2
91367,6037,43342,1164,119659,30.5,55.3
91377,6111,14162,251,147895,28.6,48.3
91381,6037,20258,670,132500,31.4,50.8
91384,6037,30829,1416,61949,27.8,54
91387,6037,44104,1836,90795,28.3,59
91390,6037,21444,809,120208,27.1,58
91401,6037,42479,1768,52368,24.6,47.9
91402,6037,74961,4538,41768,30.1,56.1
91403,6037,22630,662,102308,31.1,51.7
91405,6037,52583,2572,66410,30.5,51.8
91406,6037,52510,2217,78214,30.3,54.5
91411,6037,24947,848,81406,30.6,56.2
91423,6037,31058,1085,90568,22.2,50.7
91436,6037,14940,548,64250,30.3,51.1
91501,6037,21867,983,75972,26.6,58.1
91502,6037,12153,520,86627,23.7,56.6
91504,6037,25376,877,121912,26.1,52.9
91505,6037,31459,1217,81625,23.8,54.6
91506,6037,19312,835,83450,24.9,54.7
91601,6037,39765,1480,75947,33,48.3
91602,6037,17585,613,91875,24.8,46.7
91604,6037,29410,660,109444,30.3,49.8
91605,6037,58186,2715,68021,30.7,53.4
91606,6037,43986,1811,59444,31.3,47.4
91607,6037,31847,1125,86591,31,54.5
91701,6071,39898,3014,72750,25.5,55.7
91706,6037,77673,3471,80952,27.6,57.8
91710,6037,82632,3698,90385,28.7,46.9
91711,6037,37918,1744,82837,26.1,64.2
91722,6037,36432,1840,69659,31.4,56.6
